Customer,Start Date,Tool,Weeks,Days
cust123,2017-07-17,AC295-69,0,2
cust779,2017-07-17,AC354-50,0,1
cust381,2017-07-17,FL743-64,0,1
cust403,2017-07-17,PU958-39,0,6
cust976,2017-07-17,CT881-19,0,2
cust265,2017-07-18,PU856-40,0,1
cust841,2017-07-18,LA467-72,0,2
cust338,2017-07-18,LA394-86,1,6
cust747,2017-07-18,LA416-93,0,2
cust396,2017-07-18,PU154-28,0,4
cust898,2017-07-19,CT837-55,0,1
cust115,2017-07-19,PU416-64,0,2
cust523,2017-07-20,PU958-39,0,3
cust220,2017-07-20,EM860-45,0,1
cust272,2017-07-20,CT598-32,0,1
cust433,2017-07-21,PU583-45,1,3
cust427,2017-07-21,FL694-41,0,2
cust654,2017-07-21,PU724-81,0,5
cust138,2017-07-22,FL662-80,0,2
cust608,2017-07-22,LA188-26,0,2
cust397,2017-07-22,LA116-72,2,4
cust513,2017-07-22,LA467-72,0,1
cust822,2017-07-22,PU856-40,0,4
cust376,2017-07-23,LA654-90,0,2
cust421,2017-07-23,LA402-96,0,1
cust117,2017-07-23,LA416-93,1,2
cust626,2017-07-24,FL623-63,0,3
cust560,2017-07-24,LA116-72,0,2
cust169,2017-07-24,LA170-14,1,3
cust728,2017-07-24,PU416-64,3,1
